"eventid","iyear","imonth","iday","extended","country","country_txt","provstate","city","multiple","success","attacktype1","attacktype1_txt","targtype1","targtype1_txt","target1","gname","weaptype1","weaptype1_txt","weapsubtype1_txt","weapdetail","property","propextent_txt","ishostkid"
197504300003,1975,4,30,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,3,Police,Police post,People's Revolutionary Army (ERP) (El Salvador),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Minor (likely < $1 million),0
197506160002,1975,6,16,0,83,Guatemala,Guatemala,Guatemala city,0,1,2,Armed Assault,7,Government (Diplomatic),US Embassy,Unknown,5,Firearms,Handgun,Pistol,1,Minor (likely < $1 million),0
197508000001,1975,8,0,0,83,Guatemala,Guatemala,Guatemala City,0,0,1,Assassination,1,Business,"Jorge A. Zimeri-Safie, businessman",Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197508060001,1975,8,6,0,61,El Salvador,San Salvador,San Salvador,0,1,5,Hostage Taking (Barricade Incident),10,Journalists & Media,Main Radio Station,People's Revolutionary Army (ERP) (El Salvador),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Minor (likely < $1 million),1
197511010001,1975,11,1,0,83,Guatemala,Chiquimula,Chiquimula,0,1,1,Assassination,4,Military,"unk, military commissioners",Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm; Pistols,0,,0
197511020001,1975,11,2,0,61,El Salvador,San Salvador,San Salvador,0,1,5,Hostage Taking (Barricade Incident),16,Telecommunication,"8 radio stations in above towns",People's Revolutionary Army (ERP) (El Salvador),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Minor (likely < $1 million),1
197512120001,1975,12,12,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,22,Violent Political Party,Deputy: Hernandez Castellon,Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197512260001,1975,12,26,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,2,Government (General),"Axel Mijangos, Leader, Christian Democratic Party",Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197601260001,1976,1,26,0,83,Guatemala,Guatemala,Guatemala City,0,1,2,Armed Assault,3,Police,unk Policeman,Guerrilla Army of the Poor (EGP),5,Firearms,Handgun,Pistols,0,,0
197602120001,1976,2,12,0,61,El Salvador,Santa Ana,Santa Ana,0,1,3,Bombing/Explosion,14,Private Citizens & Property,Municipal Market,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197602200001,1976,2,20,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,2,Government (General),"Rolando Andrade, Director of Town Services",Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197602220001,1976,2,22,0,61,El Salvador,Santa Ana,Santa Ana,0,1,3,Bombing/Explosion,14,Private Citizens & Property,Peasent Cruter,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197602270001,1976,2,27,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,8,Educational Institution,National University,People's Revolutionary Army (ERP) (El Salvador),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197603090001,1976,3,9,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,2,Government (General),National Conciliation Party HQ,People's Revolutionary Army (ERP) (El Salvador),6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197605000002,1976,5,0,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,4,Military,"Waldemar Orozco, Naval Officer",Unknown,13,Unknown,,,0,,0
197605090001,1976,5,9,0,83,Guatemala,Guatemala,Guatemala City,0,1,6,Hostage Taking (Kidnapping),1,Business,"daughter of Enrique Novella, daughter",Guerrilla Army of the Poor (EGP),13,Unknown,,,0,,1
197605150001,1976,5,15,0,83,Guatemala,Guatemala,Guatemala City,0,0,1,Assassination,2,Government (General),"unk, Leaders",Unknown,5,Firearms,Handgun,Pistols,0,,0
197606150001,1976,6,15,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,2,Government (General),"Luis Ernesto de la Rosa, Leader",Unknown,5,Firearms,Handgun,Pistols,0,,0
197606280001,1976,6,28,0,61,El Salvador,Sonsonate,Sonsonate,0,1,2,Armed Assault,4,Military,Arms supply center,Armed Forces of National Resistance (FARN),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Minor (likely < $1 million),0
197607110001,1976,7,11,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,3,Police,"Moises Orozco,, Chief of Detectives",Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197608040003,1976,8,4,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,7,Government (Diplomatic),Spanish Embassy,Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearms,1,Minor (likely < $1 million),0
197608040004,1976,8,4,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,7,Government (Diplomatic),Nicaraguan Embassy,Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Minor (likely < $1 million),0
197608100001,1976,8,10,1,61,El Salvador,Santa Ana,Santa Ana,0,1,6,Hostage Taking (Kidnapping),1,Business,"Tomas Armando Monedero Barreiro, coffee grower, friend of president *",Unknown,13,Unknown,,,0,,1
197608140001,1976,8,14,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,3,Police,"Unk, Police Guard",Unknown,5,Firearms,Handgun,Pistol,0,,0
197608180001,1976,8,18,0,61,El Salvador,San Miguel,San Miguel,0,1,3,Bombing/Explosion,2,Government (General),Governor's Office,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,,0
197608240002,1976,8,24,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,8,Educational Institution,"Jesuit School, Estudio's Centro-Americano's",Other,6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197608310001,1976,8,31,0,83,Guatemala,Guatemala,Guatemala City,0,1,3,Bombing/Explosion,7,Government (Diplomatic),Mexican consulate,Other,6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197609240001,1976,9,24,0,83,Guatemala,Unknown,Unknown,0,1,7,Facility/Infrastructure Attack,1,Business,farms,Guerrilla Army of the Poor (EGP),8,Incendiary,,Incendiary,1,Major (likely >= $1 million but < $1 billion),0
197610050002,1976,10,5,0,61,El Salvador,Usulutan,Usulutan,0,1,3,Bombing/Explosion,4,Military,National Guard Garrision,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197610100002,1976,10,10,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,2,Government (General),Residence of a National Deputy,Other,6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197611060001,1976,11,6,0,83,Guatemala,Guatemala,Guatemala City,0,1,3,Bombing/Explosion,1,Business,Conquistador Sheraton Hotel,Guerrilla Army of the Poor (EGP),6,Explosives,Unknown Explosive Type,Explosive,1,,0
197611130001,1976,11,13,0,83,Guatemala,Chiquimula,Unknown,0,1,2,Armed Assault,1,Business,"Unk, Ranchers",Guerrilla Army of the Poor (EGP),5,Firearms,Handgun,Pistols,0,,0
197611200002,1976,11,20,0,83,Guatemala,Unknown,Unknown,0,1,2,Armed Assault,6,Airports & Aircraft,private airfield,Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearms,1,Minor (likely < $1 million),0
197611260003,1976,11,26,0,83,Guatemala,Unknown,Unknown,0,1,2,Armed Assault,1,Business,Oil drilling camp,Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,,0
197701270001,1977,1,27,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),1,Business,industrialist,People's Revolutionary Army (ERP) (El Salvador),13,Unknown,,,0,,1
197702060001,1977,2,6,0,61,El Salvador,San Salvador,San Salvador,0,1,1,Assassination,4,Military,"Jose Francisco Rene Chacon, Colonel",Unknown,5,Firearms,Handgun,Pistol,0,,0
197702070001,1977,2,7,0,83,Guatemala,Guatemala,Guatemala city,0,1,6,Hostage Taking (Kidnapping),1,Business,"Edumendo Brol, businessman, U.S. Ancestry (naturalized)",Guerrilla Army of the Poor (EGP),13,Unknown,,,0,,1
197704190001,1977,4,19,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),2,Government (General),"Maurico Borgonovo, foreign minister",People's Liberation Forces (FPL),13,Unknown,,,0,,1
197705290001,1977,5,29,1,83,Guatemala,Guatemala,Guatemala city,0,1,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),"Eduardo Casanova Sandoval, ambassador",Guerrilla Army of the Poor (EGP),13,Unknown,,,0,,1
197706240003,1977,6,24,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,10,Journalists & Media,radio station,People's Liberation Forces (FPL),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Minor (likely < $1 million),0
197707190001,1977,7,19,0,83,Guatemala,Guatemala,Guatemala city,0,1,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,priest,Unknown,13,Unknown,,,0,,1
197709060001,1977,9,6,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),1,Business,"Elena Lima de Chiorato, wife Louis Chiorato, U.S. businessman",Unknown,13,Unknown,,,0,,1
197709160001,1977,9,16,0,61,El Salvador,San Salvador,San Salvador,0,1,1,Assassination,8,Educational Institution,"CArlos Algaro Castillo, Rector of NAtional Univ. and Bodyguard*",People's Liberation Forces (FPL),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearms,0,,0
197709300001,1977,9,30,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,2,Government (General),"Rafael Arriaga Bosque, former defense minister; driver",Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearms,0,,0
197710270002,1977,10,27,0,83,Guatemala,Chiquimula,El Rodeito,0,1,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,city of El Ruedito,Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearms,1,Minor (likely < $1 million),1
197712220001,1977,12,22,0,83,Guatemala,Guatemala,Guatemala city,0,1,1,Assassination,3,Police,"Jorge David Garcia, former director",Unknown,5,Firearms,Handgun,Pistol,0,,0
197712310001,1977,12,31,1,83,Guatemala,Guatemala,Guatemala City,0,1,6,Hostage Taking (Kidnapping),2,Government (General),"Roberto Herrera Ibarguen, former foreign minister",Guerrilla Army of the Poor (EGP),13,Unknown,,,0,,1
197712310002,1977,12,31,1,83,Guatemala,Unknown,Unknown,0,1,6,Hostage Taking (Kidnapping),1,Business,"Luis Canella, industrialist",Unknown,13,Unknown,,,0,,1
197800000002,1978,0,0,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),1,Business,"Mauricio Sandoval, executive",Unknown,13,Unknown,,,0,,1
197801250002,1978,1,25,0,83,Guatemala,Guatemala,Guatemala city,0,1,6,Hostage Taking (Kidnapping),4,Military,military police officers,Guerrilla Army of the Poor (EGP),13,Unknown,,,0,,1
197802030001,1978,2,3,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,7,Government (Diplomatic),U.N. Information Center,Popular Revolutionary Bloc (BPR),5,Firearms,Handgun,Pistols,0,,1
197802060001,1978,2,6,0,61,El Salvador,San Salvador,San Salvador,0,1,1,Assassination,2,Government (General),"Francisco Rene Chacon, ER director",Unknown,5,Firearms,Handgun,Pistols,0,,0
197802140003,1978,2,14,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,7,Government (Diplomatic),Nicaraguan Embassy,People's Revolutionary Army (ERP) (El Salvador),6,Explosives,Unknown Explosive Type,Explosive; Automatic firearms,1,Minor (likely < $1 million),0
197802210005,1978,2,21,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),"Manuel Luna Uzrulame, advisor",Unknown,13,Unknown,,,0,,1
197802260001,1978,2,26,0,61,El Salvador,San Miguel,San Miguel,0,1,1,Assassination,3,Police,"Jose Saul Lopez Viera, policeman",People's Liberation Forces (FPL),13,Unknown,,,0,,0
197802280001,1978,2,28,0,61,El Salvador,Cabanas,Ilobasco,0,1,3,Bombing/Explosion,2,Government (General),Headquarters National Concilliation Party,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197802280002,1978,2,28,0,61,El Salvador,San Vicente,San Vicente,0,1,3,Bombing/Explosion,2,Government (General),"Headquarters, National Concilliation Party",People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197802280003,1978,2,28,0,61,El Salvador,San Miguel,San Miguel,0,1,3,Bombing/Explosion,2,Government (General),Home of Mayor,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197802280004,1978,2,28,0,61,El Salvador,San Vicente,San Vicente,0,1,3,Bombing/Explosion,2,Government (General),National Conciliation Party HQ,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,0,,0
197802280005,1978,2,28,0,61,El Salvador,San Salvador,Nejapa,0,1,3,Bombing/Explosion,2,Government (General),Mayors Office,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803070004,1978,3,7,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,2,Government (General),"Home, Col. Enrique Peralta Azurdia",Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197803100005,1978,3,10,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,2,Government (General),"Morales Cordon, mayor",Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197803120001,1978,3,12,0,61,El Salvador,San Salvador,Nejapa,0,1,3,Bombing/Explosion,16,Telecommunication,Telephone Lines,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,,0
197803120002,1978,3,12,0,61,El Salvador,San Vicente,Tecoluca,0,1,3,Bombing/Explosion,21,Utilities,Electric Substation,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803120003,1978,3,12,0,61,El Salvador,La Paz,Zacatecoluca,0,1,3,Bombing/Explosion,16,Telecommunication,Telephone lines,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803120004,1978,3,12,0,61,El Salvador,La Paz,La Herradura,0,1,3,Bombing/Explosion,21,Utilities,Electrical Substation,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803120005,1978,3,12,0,61,El Salvador,Cuscatlan,Suchitoto,0,1,3,Bombing/Explosion,16,Telecommunication,telephone lines,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,,0
197803120006,1978,3,12,0,61,El Salvador,Chalatenango,Chalatenango,0,1,3,Bombing/Explosion,16,Telecommunication,telephone lines,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803120007,1978,3,12,0,61,El Salvador,San Salvador,El Paisnal,0,1,3,Bombing/Explosion,16,Telecommunication,telephone lines,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803120008,1978,3,12,0,61,El Salvador,San Salvador,Aguilares,0,1,3,Bombing/Explosion,16,Telecommunication,telephone lines,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803120009,1978,3,12,0,61,El Salvador,Usulutan,Usulutan,0,1,3,Bombing/Explosion,16,Telecommunication,telephone lines,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197803280001,1978,3,28,0,61,El Salvador,Santa Ana,Santa Ana,0,1,3,Bombing/Explosion,2,Government (General),Residence of mayor-elect,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197803300001,1978,3,30,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,8,Educational Institution,"Jose Simon Canas Central America University, 6km west of capitol",People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Propaganda bombs,1,Unknown,0
197804060001,1978,4,6,0,61,El Salvador,San Salvador,San Salvador,0,1,1,Assassination,1,Business,"Gustavo Cartagena, President",People's Revolutionary Army (ERP) (El Salvador),5,Firearms,Automatic or Semi-Automatic Rifle,Submachine gun,0,,0
197804160002,1978,4,16,0,61,El Salvador,San Salvador,San Salvador,0,1,5,Hostage Taking (Barricade Incident),10,Journalists & Media,Radio Station (2),People's Liberation Forces (FPL),13,Unknown,,,0,,0
197804270001,1978,4,27,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,3,Police,police officers,People's Liberation Forces (FPL),5,Firearms,Handgun,Automatic pistol,0,,0
197804270002,1978,4,27,0,83,Guatemala,Guatemala,Guatemala City,0,0,1,Assassination,3,Police,"Salvador Antonio Monteroso, former police chief",Unknown,5,Firearms,Handgun,Automatic handgun - .45 caliber,0,,0
197805080002,1978,5,8,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,2,Government (General),Residence National Deputy,People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197805080003,1978,5,8,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,2,Government (General),"Home, Former Pres. Legislative Assy",People's Liberation Forces (FPL),6,Explosives,Unknown Explosive Type,Explosive,1,,0
197805140002,1978,5,14,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),1,Business,"Ernesto Sol Meza, industrialist, *",Left-Wing Terrorists,13,Unknown,,,0,,1
197805150004,1978,5,15,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,2,Government (General),Supreme Court of Justice Building,People's Liberation Forces (FPL),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearms,1,Minor (likely < $1 million),0
197805170004,1978,5,17,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),1,Business,"Fujio Matsumoto, president",Armed Forces of National Resistance (FARN),13,Unknown,,,0,,1
197805290004,1978,5,29,0,83,Guatemala,Escuintla,Iztapa,0,1,2,Armed Assault,14,Private Citizens & Property,Building,Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197806140003,1978,6,14,0,83,Guatemala,Guatemala,Guatemala City,0,1,3,Bombing/Explosion,4,Military,Army Guard Detail,Guerrilla Army of the Poor (EGP),6,Explosives,Landmine,Claymore mine,1,Minor (likely < $1 million),0
197806180001,1978,6,18,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,7,Government (Diplomatic),Argentine Embassy,People's Revolutionary Army (ERP) (El Salvador),6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197806200001,1978,6,20,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,4,Military,"Col Samuel Humberto Ramirez, former Chief of Staff",Guerrilla Army of the Poor (EGP),5,Firearms,Handgun,Pistol,0,,0
197806300001,1978,6,30,0,83,Guatemala,Guatemala,San Jose Pinula,0,1,1,Assassination,15,Religious Figures/Institutions,"Hermogenes Lopez, priest",Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197807090003,1978,7,9,0,83,Guatemala,Escuintla,Palin,0,1,2,Armed Assault,2,Government (General),Govt Offices,Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Minor (likely < $1 million),0
197807090004,1978,7,9,0,83,Guatemala,Huehuetenango,San Rafael La Independencia,0,1,2,Armed Assault,14,Private Citizens & Property,San Rafael,Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,1
197807240001,1978,7,24,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,7,Government (Diplomatic),Guatemalan Embassy,People's Revolutionary Army (ERP) (El Salvador),6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197808000001,1978,8,0,0,61,El Salvador,Santa Ana,Santa Ana,0,1,1,Assassination,1,Business,"Guillermo Rivas, Secretery General",People's Liberation Forces (FPL),5,Firearms,Handgun,Pistol,0,,0
197808150003,1978,8,15,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),1,Business,"Schel Kjell Bjork, technical director",People's Liberation Forces (FPL),13,Unknown,,,0,,1
197808190003,1978,8,19,0,61,El Salvador,San Salvador,Monserrat,0,1,2,Armed Assault,3,Police,Police Post,Armed Forces of National Resistance (FARN),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197809080001,1978,9,8,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,2,Government (General),Ho National Concilliation Party,People's Revolutionary Army (ERP) (El Salvador),6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197809110002,1978,9,11,0,83,Guatemala,Quetzaltenango,Las Cumbres,0,1,6,Hostage Taking (Kidnapping),2,Government (General),"Antonio Perez Lopez, secretary general",Other,13,Unknown,,,0,,1
197809140001,1978,9,14,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,2,Government (General),"Edmundo Menses Cantanero, Ambassador to to Guatemala",Guerrilla Army of the Poor (EGP),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197809160001,1978,9,16,0,61,El Salvador,San Salvador,San Salvador,0,1,1,Assassination,2,Government (General),"Ruben Alfonso Rodriguez, former President",People's Liberation Forces (FPL),5,Firearms,Handgun,Pistol,0,,0
197809160008,1978,9,16,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,7,Government (Diplomatic),U.S. Embassy,People's Liberation Forces (FPL),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197809170001,1978,9,17,0,83,Guatemala,Quetzaltenango,Las Cumbres,0,1,6,Hostage Taking (Kidnapping),2,Government (General),"Natividad Perez Vasquez, member *",Other,13,Unknown,,,0,,1
197809180001,1978,9,18,0,61,El Salvador,San Salvador,San Salvador,0,1,1,Assassination,3,Police,"Jose Eduardo Chavez Carillo,Jose Eucarnacion Ventura, guards",People's Liberation Forces (FPL),5,Firearms,Handgun,Pistol,0,,0
197809180002,1978,9,18,0,61,El Salvador,San Salvador,San Salvador,0,0,1,Assassination,8,Educational Institution,"Carlos Rodriquez, dean",People's Revolutionary Army (ERP) (El Salvador),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197809180003,1978,9,18,0,61,El Salvador,San Salvador,San Salvador,0,0,1,Assassination,8,Educational Institution,"Manuel Antonio Ramiraz, Chancellor",People's Revolutionary Army (ERP) (El Salvador),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,0,,0
197809180005,1978,9,18,0,61,El Salvador,San Salvador,Zacamil,0,1,2,Armed Assault,3,Police,Police Post,Armed Forces of National Resistance (FARN),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197809190002,1978,9,19,0,61,El Salvador,Unknown,Unknown,0,1,2,Armed Assault,3,Police,Finance Police Jeep,Armed Forces of National Resistance (FARN),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197809200004,1978,9,20,0,61,El Salvador,Santa Ana,Santa Ana,0,1,2,Armed Assault,3,Police,El Palmar Police Station,Armed Forces of National Resistance (FARN),5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197809240003,1978,9,24,0,61,El Salvador,San Salvador,San Salvador,0,1,6,Hostage Taking (Kidnapping),3,Police,"Alfonso Castro Sam, ex-major",Unknown,13,Unknown,,,0,,1
197809270001,1978,9,27,0,83,Guatemala,Guatemala,Guatemala city,0,1,3,Bombing/Explosion,6,Airports & Aircraft,nicaraguan airlines company (LANICA) offices,Guerrilla Army of the Poor (EGP),6,Explosives,Time Fuse,Explosive - timed,1,Minor (likely < $1 million),0
197809280005,1978,9,28,0,83,Guatemala,Guatemala,Guatemala City,0,1,7,Facility/Infrastructure Attack,7,Government (Diplomatic),"Office, Permanent Commission",Guatemalan Labor Party (PGT),5,Firearms,Unknown Gun Type,Firearm; Molotov cocktail,1,Unknown,0
